Customer Ref Number,Email,First Name,Surname,Activity Type,Activity Detail,Phone Number,Activity Date
3002700000XPm6JAAW,SLAWRENCE.10000.0021@gmail.com,Stephanie,Lawrence,Downloaded Brochure,Hatchback,,09-03-2025
3002700000ZQn7KAAZ,GDAVIS.10000.0022@hotmail.com,Gregory,Davis,Test Drive Sign-up,SUV,9778899001,10-03-2025
3002700000ZQn7KAAZ,GDAVIS.10000.0022@hotmail.com,Gregory,Davis,Dealer Info Lookup,Location: Phoenix,,11-03-2025
GUEST_00001,guest_user@anon.com,Guest,User,Dealer Info Lookup,Location: San Diego,,01-02-2025
GUEST_00002,guest_user@anon.com,Guest,User,Downloaded Brochure,SUV,,02-02-2025
GUEST_00003,guest_user@anon.com,Guest,User,Test Drive Sign-up,Hatchback,9112233445,03-02-2025
GUEST_00004,guest_user@anon.com,Guest,User,Dealer Info Lookup,Location: Boston,,04-02-2025
GUEST_00005,guest_user@anon.com,Guest,User,Downloaded Brochure,Sedan,,05-02-2025
GUEST_00006,guest_user@anon.com,Guest,User,Test Drive Sign-up,SUV,9223344556,06-02-2025
GUEST_00007,guest_user@anon.com,Guest,User,Dealer Info Lookup,Location: Philadelphia,,07-02-2025
GUEST_00008,guest_user@anon.com,Guest,User,Downloaded Brochure,Hatchback,,08-02-2025
GUEST_00009,guest_user@anon.com,Guest,User,Test Drive Sign-up,Sedan,9334455667,09-02-2025
GUEST_00010,guest_user@anon.com,Guest,User,Dealer Info Lookup,Location: Orlando,,10-02-2025
